trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
146,False,"{'a': 0.002, 'e': 0.12070365752270688}",30,21,17.201231725529468,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.002, 'e': 0.1155245537164023}",25,11,19.12635832919875,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.002, 'e': 0.11050049763363196}",20,16,10.578003192368424,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.002, 'e': 0.10563025654195533}",25,12,20.595100574592173,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.002, 'e': 0.10091243843022868}",25,7,-18.22259207522842,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 0}",1
151,False,"{'a': 0.002, 'e': 0.09634549853887656}",25,10,27.912299110985455,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.002, 'e': 0.09192774611635092}",20,4,-14.233821268975877,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
153,False,"{'a': 0.002, 'e': 0.08765735137683421}",20,5,28.68431933862619,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.002, 'e': 0.08353235263392216}",30,14,27.91210517749572,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.002, 'e': 0.07955066358481536}",25,0,-12.763548880802913,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
156,False,"{'a': 0.002, 'e': 0.07571008071945437}",20,2,27.689038081503323,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.002, 'e': 0.07200829082905108}",30,13,28.266774810351137,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.002, 'e': 0.068442878588598}",20,6,21.91564882038199,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.002, 'e': 0.06501133418817405}",20,11,14.616515002358467,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.002, 'e': 0.06171106098820867}",25,13,24.325959420735746,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.002, 'e': 0.05853938317431168}",35,20,33.82457965938745,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.002, 'e': 0.05549355338782037}",30,20,21.649410062355877,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.002, 'e': 0.05257076030885454}",20,10,15.597650274308094,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.002, 'e': 0.049768136169397875}",20,8,23.02547173602905,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.002, 'e': 0.04708276417473705}",20,9,7.0947484129652585,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
166,False,"{'a': 0.002, 'e': 0.04451168581248088}",25,18,14.577174425540633,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'a': 0.002, 'e': 0.0420519080293455}",20,8,23.815565521738495,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.002, 'e': 0.03970041025692133}",20,0,33.31741519143757,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
